SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
MF,UFDMIPIPII,UTIAMC - UFDMIPIPII,05/02/2020, , , , , ,DIV/STP                  
MF,UFDMIPIGII,UTIAMC - UFDMIPIGII,05/02/2020, , , , , ,STP                      
MF,UFDS2QPIP5,UTIAMC - UFDS2QPIP5,17/02/2020, , , , , ,DIV/STP                  
MF,UFDS2QPIG5,UTIAMC - UFDS2QPIG5,17/02/2020, , , , , ,STP                      
MF,UTFDMIPIGI,UTIAMC - UTFDMIPIGI,24/02/2020, , , , , ,STP                      
MF,UTFDMIPIPI,UTIAMC - UTFDMIPIPI,24/02/2020, , , , , ,DIV/STP                  
MF,UFIMIPRGII,UTI-FIIF - MIP - II - RG,05/02/2020, , , , , ,STP                      
MF,UFIS2QPRP5,UTI-FIIF II-QIP- V-RDP,17/02/2020, , , , , ,DIV/STP                  
MF,UFIS2QPRR5,UTI-FIIF II-QIP- V-RDR,17/02/2020, , , , , ,DIV/STP                  
MF,UFIS2QPRG5,UTI-FIIF II-QIP- V-RG,17/02/2020, , , , , ,STP                      
MF,UTFIMIPRPI,UTI-FIIF - MIP - I - RDP,24/02/2020, , , , , ,DIV/STP                  
MF,UTFIMIPRRI,UTI-FIIF - MIP - I - RDR,24/02/2020, , , , , ,DIV/STP                  
MF,UTCPOR8GR1,UTIAMC - UTCPOR8GR1,18/02/2020, , , , , ,REDEMPTION               
MF,UTCPOR8DP1,UTIAMC - UTCPOR8DP1,18/02/2020, , , , , ,DIV/REDEMPTION           
MF,UTCPOD8GR1,UTIAMC - UTCPOD8GR1,18/02/2020, , , , , ,REDEMPTION               
MF,UTCPOD8DP1,UTIAMC - UTCPOD8DP1,18/02/2020, , , , , ,DIV/REDEMPTION           
MF,UTFIMIPIPI,UTI-FIIF - MIP - I - IDP,24/02/2020, , , , , ,DIV/STP                  
MF,UTFIMIPRGI,UTI-FIIF - MIP - I - RG,24/02/2020, , , , , ,STP                      
MH,SRTRANSFIN,Sec Red NCD 8.93% Sr. I,25/02/2020, , ,14/02/2020,14/02/2020,24/02/2020,INTEREST PAYMENT         
MI,SRTRANSFIN,Sec Red NCD 9.03% Sr. II,25/02/2020, , ,14/02/2020,14/02/2020,24/02/2020,INTEREST PAYMENT         
MO,SRTRANSFIN,Sec Red NCD 9.12% Sr. I,15/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
MP,SRTRANSFIN,Sec Red NCD 9.30% Sr. II,15/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
MV,SRTRANSFIN,Shriram Transport Finance,14/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
MW,SRTRANSFIN,Shriram Transport Finance,14/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
N1,ICFL,Indiabulls Consumer Finan,22/02/2020, , ,18/02/2020, , ,INTEREST PAYMENT         
N1,ERFLNCDI,Sec Red NCD 8.42% Sr. I,14/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
N3,ICFL,Indiabulls Consumer Finan,22/02/2020, , ,18/02/2020, , ,INTEREST PAYMENT         
N3,ERFLNCDI,Sec Red NCD 8.65% Sr. III,14/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
N4,ICFL,Indiabulls Consumer Finan,22/02/2020, , ,18/02/2020, , ,INTEREST PAYMENT         
N5,ECLFINANCE,ECL NCD 12% Opt I,14/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
N5,ERFLNCDI,Sec Red NCD 8.88% Sr. V,14/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
N6,ICFL,Indiabulls Consumer Finan,22/02/2020, , ,18/02/2020, , ,INTEREST PAYMENT         
N7,ICFL,Indiabulls Consumer Finan,22/02/2020, , ,18/02/2020, , ,INTEREST PAYMENT         
N7,IBUCCREDIT,SeReNCD8.66%SrIVCIII&IV,10/02/2020, , ,07/02/2020, , ,INTEREST PAYMENT         
N8,IBULHSGFIN,Sec Red NCD 8.65% Sr. V,15/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
NA,IBUCCREDIT,SeReNCD8.75%SrVICI&II,10/02/2020, , ,07/02/2020, , ,INTEREST PAYMENT         
NB,ECLFINANCE,ECL NCD 10.15% Opt IV,14/02/2020, , ,13/02/2020, , ,INT PAYMENT/REDEMPTION   
NB,IBUCCREDIT,SeReNCD8.84%SrVICIII&IV,10/02/2020, , ,07/02/2020, , ,INTEREST PAYMENT         
NC,ECLFINANCE,ECL NCD 10.60 % Opt V,14/02/2020, , ,13/02/2020, , ,INT PAYMENT/REDEMPTION   
NC,ICFL,Indiabulls Consumer Finan,12/02/2020, , ,11/02/2020, , ,INTEREST PAYMENT         
NC,IBULHSGFIN,Uns Red NCD 8.79% Sr.VIII,15/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
ND,ECLFINANCE,ECL NCD Opt VI,14/02/2020, , ,13/02/2020, , ,INT PAYMENT/REDEMPTION   
NF,IIFLFIN,India Infoline Finance Li,20/02/2020, , ,18/02/2020, , ,INTEREST PAYMENT         
NF,ICFL,Indiabulls Consumer Finan,12/02/2020, , ,11/02/2020, , ,INTEREST PAYMENT         
NG,ECLFINANCE,Sec Red NCD 9.25% Sr. III,14/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
NH,IIFLFIN,India Infoline Finance Li,20/02/2020, , ,18/02/2020, , ,INTEREST PAYMENT         
NJ,ECLFINANCE,Sec Red NCD 9.43% Sr. VI,14/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
NL,ICFL,Sec Red NCD 9.81% Sr. IV,20/02/2020, , ,18/02/2020, , ,INTEREST PAYMENT         
NN,IIFLFIN,UnSec Red NCD 10% Sr. V,14/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
NO,ICFL,Sec Red NCD 10.04% Sr.VII,20/02/2020, , ,18/02/2020, , ,INTEREST PAYMENT         
NO,ECLFINANCE,ECL Finance Limited,14/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
NO,SREIBNPNCD,Uns Red NCD 9.25% Sr. I,15/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
NP,L&TFINANCE,Se Re NCD 8.48% Sr.IV OpI,03/02/2020, , ,31/01/2020, , ,INTEREST PAYMENT         
NQ,L&TFINANCE,SeReNCD 8.66% Sr.IV OpII,03/02/2020, , ,31/01/2020, , ,INTEREST PAYMENT         
NR,SREIBNPNCD,Uns Red NCD 9.35% Sr. IV,15/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
NR,ECLFINANCE,ECL Finance Limited,14/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
NU,SREIBNPNCD,Uns Red NCD 9.50% Sr. VII,15/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
NV,L&TFINANCE,SeReNCD 8.52% Sr.VII OpI,03/02/2020, , ,31/01/2020, , ,INTEREST PAYMENT         
NW,L&TFINANCE,SeReNCD 8.70% Sr.VII OpII,03/02/2020, , ,31/01/2020, , ,INTEREST PAYMENT         
RR,EMBASSY,Embassy Office Parks REIT,24/02/2020, , ,20/02/2020, , ,DISTRIBUTION             
RT,EMBASSY,Embassy Office Parks REIT,24/02/2020, , ,20/02/2020, , ,DISTRIBUTION             
U1,ICFL,Indiabulls Consumer Finan,22/02/2020, , ,18/02/2020, , ,INTEREST PAYMENT         
U1,ERFLNCDI,Sec Red NCD 8.42% Sr. I,14/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
U3,ERFLNCDI,Sec Red NCD 8.65% Sr. III,14/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
U3,ICFL,Indiabulls Consumer Finan,22/02/2020, , ,18/02/2020, , ,INTEREST PAYMENT         
U4,ICFL,Indiabulls Consumer Finan,22/02/2020, , ,18/02/2020, , ,INTEREST PAYMENT         
U5,ECLFINANCE,ECL NCD 12% Opt I,14/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
U5,ERFLNCDI,Sec Red NCD 8.88% Sr. V,14/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
U6,ICFL,Indiabulls Consumer Finan,22/02/2020, , ,18/02/2020, , ,INTEREST PAYMENT         
U7,IBUCCREDIT,SeReNCD8.66%SrIVCIII&IV,10/02/2020, , ,07/02/2020, , ,INTEREST PAYMENT         
U7,ICFL,Indiabulls Consumer Finan,22/02/2020, , ,18/02/2020, , ,INTEREST PAYMENT         
U8,IBULHSGFIN,Sec Red NCD 8.65% Sr. V,15/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
