MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,EQ,CNOVAPETRO,CIL NOVA PETROCHEM LTD,         7.30,         7.25,         7.85,         7.25,         7.70,                       22.80,3,N, ,3,        22.60,         7.10
N,EQ,COCHINSHIP,COCHIN SHIPYARD LIMITED,       379.15,       379.15,       383.60,       366.15,       370.35,                 55215065.80,147171,N, ,4274,       491.70,       326.90
N,EQ,COMPINFO,COMPUAGE INFOCOM LTD,        15.10,        15.40,        15.40,        14.35,        14.45,                  1277778.05,85958,N, ,203,        22.35,         8.00
N,EQ,COMPUSOFT,COMPUCOM SOFTWARE LTD,         7.10,         7.10,         7.30,         7.00,         7.15,                    40522.40,5668,N, ,29,        10.60,         6.95
N,EQ,CONFIPET,CONFIDENCE PETRO IND LTD.,        27.00,        27.45,        27.80,        26.55,        26.70,                  2870207.00,106185,N, ,697,        41.40,        19.30
N,EQ,CONSOFINVT,CONSO. FIN. & HOLD. LTD.,        35.95,        39.00,        39.00,        35.50,        35.50,                     6339.00,176,N, ,4,        50.75,        27.80
N,SM,CONTI,CONTINENTAL SEED CHEM LTD,        81.60,        82.65,        85.65,        82.65,        85.50,                 33750600.00,400000,N, ,94,        85.65,        11.85
N,EQ,CONTROLPR,CONTROL PRINT LIMITED,       264.35,       268.65,       268.65,       260.00,       263.25,                  1162869.25,4385,N, ,392,       318.05,       190.00
N,EQ,CORALFINAC,CORAL INDIA FIN & HOUS LT,        10.40,        10.45,        10.70,        10.45,        10.50,                    71185.80,6770,N, ,34,        22.65,         9.00
N,EQ,CORDSCABLE,CORDS CABLE INDUS LTD.,        49.95,        48.60,        51.60,        47.50,        48.45,                  1312792.70,26347,N, ,651,        70.00,        35.10
N,EQ,COROMANDEL,COROMANDEL INTERNTL. LTD,       631.85,       630.00,       638.95,       608.50,       617.65,                102477865.50,163853,N, ,5793,       641.45,       336.60
N,EQ,CORPBANK,CORPORATION BANK,        23.45,        23.50,        23.80,        22.50,        22.60,                  9188959.60,396886,N, ,1468,        32.40,        13.60
N,EQ,COSMOFILMS,COSMO FILMS LTD,       268.30,       266.45,       269.10,       263.00,       264.25,                  4446897.35,16748,N, ,432,       316.80,       161.95
N,EQ,COUNCODOS,COUNTRY CONDO'S LIMITED,         1.60,         1.60,         1.60,         1.55,         1.55,                     1258.45,799,N, ,10,         5.15,         1.45
N,EQ,CREDITACC,CREDITACCESS GRAMEEN LTD,       800.75,       794.50,       808.90,       755.55,       764.80,                 57960501.40,73872,N, ,4597,       882.40,       329.90
N,EQ,CREST,CREST VENTURES LIMITED,       103.35,       107.35,       107.35,        95.65,        96.45,                   870421.40,8791,N, ,244,       153.00,        68.00
N,EQ,CRISIL,CRISIL LTD,      1702.65,      1702.20,      1770.00,      1699.70,      1701.95,                 22005036.40,12743,N, ,2206,      2068.00,      1135.55
N,EQ,CROMPTON,CROMPT GREA CON ELEC LTD,       284.45,       279.70,       284.85,       264.85,       278.75,                244853696.65,883198,N, ,19652,       293.80,       192.00
N,EQ,CSBBANK,CSB BANK LIMITED,       183.95,       183.75,       192.30,       182.00,       184.90,                 80577664.45,428149,N, ,6886,       313.50,       181.00
N,EQ,CTE,CAMBRIDGE TECH ENTER LTD,        25.35,        26.35,        26.35,        24.30,        25.90,                    61585.50,2421,N, ,42,        56.15,        20.35
N,EQ,CUB,CITY UNION BANK LTD,       231.25,       231.95,       236.85,       230.15,       234.45,                 49398329.50,210525,N, ,3164,       249.35,       175.50
N,EQ,CUBEXTUB,CUBEX TUBINGS LTD,        13.40,        12.15,        13.10,        12.15,        12.45,                    12164.55,961,N, ,8,        17.65,         8.20
N,EQ,CUMMINSIND,CUMMINS INDIA LTD,       574.55,       568.00,       585.00,       552.00,       562.10,                511380408.00,889597,N, ,17608,       830.95,       504.00
N,EQ,CUPID,CUPID LIMITED,       220.05,       218.00,       229.85,       212.75,       217.65,                 14333451.20,64612,N, ,2425,       261.80,       104.00
N,EQ,CYBERTECH,CYBERTECH SYSTEMS & SOFTW,        45.80,        45.90,        46.60,        44.30,        44.95,                   822055.35,18139,N, ,200,        64.30,        33.05
N,EQ,CYIENT,CYIENT LIMITED,       490.95,       485.10,       491.30,       479.25,       481.90,                 19752162.90,40845,N, ,2516,       693.80,       380.00
N,EQ,DAAWAT,LT FOODS LIMITED,        26.70,        26.65,        27.25,        25.75,        26.20,                 20022555.15,758432,N, ,2508,        41.60,        17.90
N,EQ,DALBHARAT,DALMIA BHARAT LIMITED,       873.55,       872.00,       894.95,       838.00,       848.10,                 78454784.00,90936,N, ,4333,      1219.90,       750.10
N,EQ,DALMIASUG,DALMIA BHARAT SUG IN LTD,       114.70,       114.00,       116.10,       104.15,       106.00,                 29488357.15,265127,N, ,3882,       135.50,        69.25
N,EQ,DAMODARIND,DAMODAR INDUSTRIES LTD,        29.70,        29.20,        30.50,        28.85,        29.05,                    63119.85,2172,N, ,26,        51.00,        23.50
N,SM,DANGEE,DANGEE DUMS LIMITED,       132.25,       132.00,       132.00,       132.00,       132.00,                   105600.00,800,N, ,1,       219.35,       124.00
N,EQ,DATAMATICS,DATAMATICS GLOBAL SER LTD,        77.15,        76.50,        78.15,        74.70,        75.65,                  5084696.20,66627,N, ,629,       116.20,        63.00
N,EQ,DBCORP,D.B.CORP LTD,       137.80,       137.00,       140.50,       136.00,       138.40,                  8548294.00,61767,N, ,1063,       205.15,       130.00
N,EQ,DBL,DILIP BUILDCON LIMITED,       408.85,       414.00,       421.90,       388.00,       393.00,                137028949.20,334182,N, ,9005,       734.80,       312.25
N,EQ,DCAL,DISHMAN CARBO AMCIS LTD,        74.95,        76.70,        76.80,        71.30,        71.65,                 22785735.35,309834,N, ,2810,       257.35,        63.90
N,EQ,DCBBANK,DCB BANK LIMITED,       178.35,       178.00,       180.00,       168.35,       176.60,                118975133.85,680600,N, ,11498,       244.65,       164.80
N,EQ,DCM,DCM LTD,        21.40,        22.45,        22.45,        21.10,        21.25,                    33364.80,1536,N, ,102,        88.55,        17.00
N,EQ,DCMNVL,DCM NOUVELLE LIMITED,        35.45,        33.15,        36.20,        33.00,        33.20,                    48840.25,1465,N, ,33,        39.55,        22.60
N,EQ,DCMSHRIRAM,DCM SHRIRAM LIMITED,       371.05,       369.00,       378.95,       355.00,       359.05,                 13752466.70,37439,N, ,2874,       638.50,       275.00
N,EQ,DCW,DCW LTD,        15.30,        15.40,        15.55,        14.40,        14.55,                  1977217.10,132630,N, ,574,        23.10,        12.10
N,EQ,DECCANCE,DECCAN CEMENTS LIMITED,       318.50,       319.55,       337.00,       305.65,       310.65,                  1994712.85,6204,N, ,533,       489.50,       261.00
N,EQ,DEEPAKFERT,DEEPAK FERTILIZERS & PETR,       111.30,       112.40,       115.80,       102.20,       103.95,                173734816.60,1600544,N, ,27199,       169.00,        76.20
N,EQ,DEEPAKNTR,DEEPAK NITRITE LTD,       383.60,       381.85,       393.45,       371.45,       376.00,                 93102923.20,242595,N, ,8520,       409.60,       206.00
N,EQ,DEEPIND,DEEP INDUSTRIES LTD,       111.65,       113.05,       114.40,       108.00,       109.65,                  1244197.45,11051,N, ,488,       176.15,        92.20
N,EQ,DELTACORP,DELTA CORP LIMITED,       179.95,       180.00,       183.20,       173.10,       174.75,                112697988.80,632410,N, ,8828,       277.65,       139.10
N,EQ,DELTAMAGNT,DELTA MAGNETS LIMITED,        37.50,        36.15,        38.95,        36.15,        36.50,                     3429.40,94,N, ,16,        86.80,        30.00
N,EQ,DEN,DEN NETWORKS LTD,        50.90,        51.95,        53.00,        49.00,        49.65,                  1645384.75,32330,N, ,484,        97.70,        36.25
N,EQ,DENORA,DE NORA INDIA LIMITED,       222.60,       220.15,       227.60,       216.00,       219.40,                  1880638.20,8474,N, ,420,       329.50,       190.05
N,SM,DEVIT,DEV INFO TECHNOLOGY LTD,        75.55,        71.50,        78.05,        71.50,        76.10,                   902100.00,12000,N, ,8,       101.00,        65.00
N,EQ,DFMFOODS,DFM FOODS LIMITED,       308.50,       308.00,       319.70,       297.10,       300.15,                 51862386.60,169193,N, ,4206,       333.85,       178.85
N,EQ,DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,       204.95,       205.40,       209.80,       200.00,       202.40,                 72641788.65,354601,N, ,10248,       252.75,       134.20
N,EQ,DHANBANK,DHANLAXMI BANK LIMITED,        15.00,        15.20,        15.20,        14.50,        14.60,                  3676471.85,249421,N, ,577,        21.20,        12.50
N,EQ,DHANUKA,DHANUKA AGRITECH LTD,       514.65,       515.20,       535.15,       499.25,       505.45,                 22113857.90,43161,N, ,3119,       558.00,       287.10
N,EQ,DHARSUGAR,DHARANI SUGARS & CHEMICAL,         7.50,         7.30,         7.85,         7.20,         7.70,                   182168.65,23763,N, ,73,        14.05,         5.20
N,EQ,DHFL,DEWAN HOUSING FIN CORP LT,        12.95,        12.35,        13.50,        12.35,        12.35,                 50209271.05,3937923,N, ,9181,       205.60,        12.35
