SYMBOL,SERIES,SECURITY,HIGH/LOW,INDEX FLAG
JMTAUTOLTD,EQ,JMT AUTO LIMITED,L
JPASSOCIAT,EQ,JAIPRAKASH ASSOCIATES LTD,L
JPINFRATEC,EQ,JAYPEE INFRATECH LTD,L
JPPOWER,EQ,JAIPRAKASH POWER VEN. LTD,L
JUBLINDS,BE,JUBILANT INDUSTRIES LTD,L
KAKATCEM,EQ,KAKATIYA CEM SUGAR &IND L,L
KAUSHALYA,BE,KAUSHALYA INFRA DEV LTD.,L
KERNEX,BE,KERNEX MICROSYS(I) LTD,L
KHAITANLTD,BE,KHAITAN (INDIA)LTD.,L
KRIDHANINF,BE,KRIDHAN INFRA LIMITED,L
KWALITY,BE,KWALITY LIMITED,L
LASA,BE,LASA SUPERGENERICS LTD,L
LEXUS,SM,LEXUS GRANITO (INDIA) LTD,L
LGBFORGE,BE,LGB FORGE LIMITED,L
LPDC,EQ,LANDMARK PR.DEV.CO.LTD,L
LYPSAGEMS,BE,LYPSA GEMS & JEWEL LTD,L
MADHUCON,EQ,MADHUCON PROJECTS LTD.,L
MAGMA,EQ,MAGMA FINCORP LIMITED,L
MALUPAPER,EQ,MALU PAPER MILLS LIMITED,L
MANAKSTEEL,EQ,MANAKSIA STEELS LTD,L
MANUGRAPH,EQ,MANUGRAPH INDIA LIMITED,L
MCDHOLDING,BE,MCDOWELL HOLDINGS LTD.,L
MCLEODRUSS,EQ,MCLEOD RUSSEL INDIA LTD.,L
MEGASOFT,EQ,MEGASOFT LTD,L
MELSTAR,BE,MELSTAR INFORMATION TECH,L
MERCATOR,EQ,MERCATOR LIMITED,L
METALFORGE,EQ,METALYST FORGINGS LIMITED,L
MIC,BE,MIC ELECTRONICS LIMITED,L
MIRCELECTR,EQ,MIRC ELECTRONICS LTD,L
MOHOTAIND,BE,MOHOTA INDUSTRIES LIMITED,L
MTNL,EQ,MAHANAGAR TELEPHONE NIGAM,L
NAGAFERT,BE,NAGARJUN FERT AND CHE LTD,L
NETWORK18,BE,NETWORK18 MEDIA & INV LTD,L
NILASPACES,EQ,NILA SPACES LIMITED,L
NITCO,EQ,NITCO LIMITED,L
NITINFIRE,BZ,NITIN FIRE PROT IND. LTD.,L
NKIND,EQ,NK INDUSTRIES LTD,L
NOIDATOLL,EQ,NOIDA TOLL BRIDGE CO LTD,L
OILCOUNTUB,BE,OIL COUNTRY TUBULAR LTD.,L
OMKARCHEM,EQ,OMKAR SPL CHEM LTD,L
ONELIFECAP,EQ,ONELIFE CAP ADVISORS LTD,L
ORTEL,BZ,ORTEL COMMUNICATIONS LTD,L
ORTINLABSS,EQ,ORTIN LABORATORIES LTD,L
PAISALO,EQ,PAISALO DIGITAL LIMITED,L
PALASHSECU,BE,PALASH SECURITIES LTD,L
PARABDRUGS,BE,PARABOLIC DRUGS LTD,L
PARSVNATH,BE,PARSVNATH DEVELOPER LTD,L
PATINTLOG,EQ,PATEL INT. LOG. LTD,L
PDMJEPAPER,EQ,PUDUMJEE PAPER PRO. LTD,L
PENINLAND,BE,PENINSULA LAND LIMITED,L
PERFECT,SM,PERFECT INFRAENGINEER LTD,L
PGEL,EQ,PG ELECTROPLAST LTD,L
PODDARHOUS,EQ,PODDAR HOUSE & DVPT LTD,L
PRADIP,BE,PRADIP OVERSEAS LTD,L
PRECAM,BE,PRECISION CAMSHAFTS LTD.,L
PUNJLLOYD,BZ,PUNJ LLOYD LIMITED,L
RAJRAYON,BZ,RAJ RAYON INDUSTRIES LTD,L
RANASUG,BE,RANA SUGARS LTD.,L
RCOM,BE,RELIANCE COMMUNICATIONS L,L
REFEX,EQ,REFEX INDUSTRIES LIMITED,L
RELCAPITAL,EQ,RELIANCE CAPITAL LTD,L
RELIGARE,EQ,RELIGARE ENTER. LTD.,L
RELINFRA,EQ,RELIANCE INFRASTRUCTU LTD,L
RHFL,EQ,RELIANCE HOME FINANCE LTD,L
RMCL,BE,RADHA MADHAV CO. LTD.,L
RNAVAL,BE,RELIANCE NAVAL & ENGG LTD,L
ROLLT,EQ,ROLLATAINERS LIMITED,L
RPOWER,EQ,RELIANCE POWER LTD.,L
RUCHINFRA,BE,RUCHI INFRASTRUCTURE LTD,L
SABTN,EQ,SRI ADHIKARI BROS.,L
SALSTEEL,BE,S.A.L. STEEL LTD.,L
SAMBHAAV,EQ,SAMBHAAV MEDIA LTD,L
SANGAMIND,BE,SANGAM (INDIA) LTD,L
SANWARIA,EQ,SANWARIA CONSUMER LIMITED,L
SARVESHWAR,SM,SARVESHWAR FOODS LIMITED,L
SELMCL,BE,SEL MANU. CO. LTD.,L
SGL,EQ,STL GLOBAL LIMITED,L
SHANKARA,EQ,SHANKARA BLDG PRODUCT LTD,L
SHIRPUR-G,BE,SHIRPUR GOLD REFINERY LTD,L
SHRIRAMEPC,EQ,SHRIRAM EPC LTD.,L
SHYAMCENT,BE,SHYAM CENTURY FERROUS LTD,L
SICAL,EQ,SICAL LOGISTICS LIMITED,L
SIL,BE,STANDARD INDUSTRIES LTD.,L
SINTEX,BE,SINTEX INDUSTRIES LTD,L
SIRCA,BE,SIRCA PAINT INDIA LIMITED,L
SITINET,BE,SITI NETWORKS LIMITED,L
SKIL,BE,SKIL INFRASTRUCTURE LTD.,L
SMPL,BZ,SPLENDID METAL PRODUCTS L,L
