INFO : 2020-05-11 06:53:58,272 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2016_MAR_18.csv
INFO : 2020-05-11 06:53:58,605 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2019_FEB_05.csv
INFO : 2020-05-11 06:53:58,960 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2018_NOV_21.csv
INFO : 2020-05-11 06:53:59,291 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2017_NOV_29.csv
INFO : 2020-05-11 06:53:59,638 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2020_MAR_30.csv
INFO : 2020-05-11 06:53:59,965 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2018_JUL_18.csv
INFO : 2020-05-11 06:54:00,322 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2019_NOV_01.csv
INFO : 2020-05-11 06:54:00,690 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2017_OCT_25.csv
INFO : 2020-05-11 06:54:01,060 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2016_APR_26.csv
INFO : 2020-05-11 06:54:01,370 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2018_AUG_02.csv
INFO : 2020-05-11 06:54:01,724 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2019_DEC_31.csv
INFO : 2020-05-11 06:54:02,090 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2019_AUG_05.csv
INFO : 2020-05-11 06:54:02,410 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2018_AUG_13.csv
INFO : 2020-05-11 06:54:02,787 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2016_JUN_07.csv
INFO : 2020-05-11 06:54:03,062 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2017_SEP_13.csv
INFO : 2020-05-11 06:54:03,356 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2018_SEP_04.csv
INFO : 2020-05-11 06:54:03,738 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2019_OCT_15.csv
INFO : 2020-05-11 06:54:04,058 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2016_MAY_27.csv
INFO : 2020-05-11 06:54:04,319 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2018_JAN_01.csv
INFO : 2020-05-11 06:54:04,628 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2018_MAR_27.csv
INFO : 2020-05-11 06:54:05,005 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2016_MAR_28.csv
INFO : 2020-05-11 06:54:05,367 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2016_OCT_20.csv
INFO : 2020-05-11 06:54:05,726 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2018_DEC_18.csv
INFO : 2020-05-11 06:54:06,192 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2019_JUN_25.csv
INFO : 2020-05-11 06:54:06,513 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2016_FEB_22.csv
INFO : 2020-05-11 06:54:06,847 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2018_JUL_02.csv
INFO : 2020-05-11 06:54:07,229 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2018_AUG_20.csv
