symbol,cname,series,list_date,paid_up_value,market_lot,isin,face_value,calculated
APLLTD,Alembic Pharmaceuticals Limited,EQ,20-SEP-2011,2,1,INE901L01018,2,APLLTD.NS
APOLLO,Apollo Micro Systems Limited,EQ,22-JAN-2018,10,1,INE713T01010,10,APOLLO.NS
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-JAN-1996,5,1,INE437A01024,5,APOLLOHOSP.NS
APOLLOPIPE,Apollo Pipes Limited,EQ,11-NOV-2019,10,1,INE126J01016,10,APOLLOPIPE.NS
APOLLOTYRE,Apollo Tyres Limited,EQ,31-MAY-1995,1,1,INE438A01022,1,APOLLOTYRE.NS
APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,28-JAN-2015,5,1,INE451F01024,5,APOLSINHOT.NS
APTECHT,Aptech Limited,EQ,27-SEP-2002,10,1,INE266F01018,10,APTECHT.NS
ARCHIDPLY,Archidply Industries Limited,EQ,04-JUL-2008,10,1,INE877I01016,10,ARCHIDPLY.NS
ARCHIES,Archies Limited,BE,02-SEP-1998,2,1,INE731A01020,2,ARCHIES.NS
ARCOTECH,Arcotech Limited,BE,16-APR-2014,2,1,INE574I01035,2,ARCOTECH.NS
ARENTERP,Rajdarshan Industries Limited,EQ,18-OCT-1995,10,1,INE610C01014,10,ARENTERP.NS
ARIES,Aries Agro Limited,EQ,11-JAN-2008,10,1,INE298I01015,10,ARIES.NS
ARIHANT,Arihant Foundations & Housing Limited,EQ,26-DEC-2006,10,1,INE413D01011,10,ARIHANT.NS
ARIHANTSUP,Arihant Superstructures Limited,EQ,28-MAR-2017,10,1,INE643K01018,10,ARIHANTSUP.NS
ARMANFIN,Arman Financial Services Limited,EQ,14-JUN-2016,10,1,INE109C01017,10,ARMANFIN.NS
AROGRANITE,Aro Granite Industries Limited,EQ,24-APR-2007,10,1,INE210C01013,10,AROGRANITE.NS
ARROWGREEN,Arrow Greentech Limited,BE,21-MAY-2015,10,1,INE570D01018,10,ARROWGREEN.NS
ARSHIYA,Arshiya Limited,BE,14-DEC-2009,2,1,INE968D01022,2,ARSHIYA.NS
